Game,Result,CoinFlip,FlipWinner,Name1,Name1Score,Name2,Name2Score,Winner,Value,Loser,Value
140,Disagree,Heads,Pony,Mundo,1,Sneaky,0,Mundo,0.5,Sneaky,0.25
119,Agree,,,Dinger,0,Sasuke,1,Sasuke,1,Dinger,0
120,Agree,,,Mumu,1,Bud,0,Mumu,1,Bud,0
121,Agree,,,Yeti,1,Fang,0,Yeti,1,Fang,0
141,Agree,,,Elon,1,Lean,0,Elon,1,Lean,0
122,Agree,,,Vayne,0,Van Dijk,1,Van Dijk,1,Vayne,0
142,Disagree,Heads,Allan,Bur,1,Morty,0,Bur,0.5,Morty,0.25
123,Agree,,,Teemo,1,Heimer,0,Teemo,1,Heimer,0
143,Agree,,,Nani,1,Imp,0,Nani,1,Imp,0
124,Agree,,,Pho,1,Dwayne,0,Pho,1,Dwayne,0
125,Agree,,,Rogen,1,Corki,0,Rogen,1,Corki,0
126,Disagree,Tails,Pony,Krule,0,Doug,1,Doug,0.5,Krule,0.25
144,Disagree,Tails,Pony,Ash,0,Cricket,1,Cricket,0.5,Ash,0.25
127,Agree,,,Tofu,1,Kayn,0,Tofu,1,Kayn,0
128,Disagree,Tails,Allan,Fletch,0,Ashkii,1,Ashkii,0.5,Fletch,0.25
129,Disagree,Tails,Pony,Slider,0,Cane,1,Cane,0.5,Slider,0.25
145,Agree,,,Ryze,1,Hazard,0,Ryze,1,Hazard,0
130,Agree,,,Chief,1,Ezreal,0,Chief,1,Ezreal,0
131,Disagree,Heads,Allan,Jager,1,Tino,0,Jager,0.5,Tino,0.25
132,Disagree,Heads,Allan,Nado,1,Venom,0,Nado,0.5,Venom,0.25
146,Agree,,,Tani,1,Sho,0,Tani,1,Sho,0
133,Disagree,Heads,Pony,Singed,1,Yone,0,Singed,0.5,Yone,0.25
147,Disagree,Tails,Allan,Pepe,0,Kylian,1,Kylian,0.5,Pepe,0.25
134,Disagree,Tails,Pony,G,0,Rumble,1,Rumble,0.5,G,0.25
148,Agree,,,Groot,1,Maki,0,Groot,1,Maki,0
135,Agree,,,Peaky,1,Foden,0,Peaky,1,Foden,0
136,Agree,,,Keanu,1,Demo,0,Keanu,1,Demo,0
137,Agree,,,Earl,0,Nakoa,1,Nakoa,1,Earl,0
149,Disagree,Tails,Pony,Appa,0,Ludo,1,Ludo,0.5,Appa,0.25
138,Agree,,,Ekko,1,Jayce,0,Ekko,1,Jayce,0
