Game,A/D,Flip,Win,Round,WinnerLoser,S,S1,N,N1
140,t,h,p,3,Win,1,0,Mundo,Sneaky
119,a,,,3,Win,0,1,Dinger,Sasuke
120,a,,,3,Win,1,0,Mumu,Bud
121,a,,,3,Win,1,0,Yeti,Fang
141,a,,,3,Win,1,0,Elon,Lean
122,a,,,3,Win,0,1,Vayne,Van Dijk
142,t,h,a,3,Win,1,0,Bur,Morty
123,a,,,3,Win,1,0,Teemo,Heimer
143,a,,,3,Win,1,0,Nani,Imp
124,a,,,3,Win,1,0,Pho,Dwayne
125,a,,,3,Win,1,0,Rogen,Corki
126,t,t,p,3,Win,0,1,Krule,Doug
144,t,t,p,3,Win,0,1,Ash,Cricket
127,a,,,3,Win,1,0,Tofu,Kayn
128,t,t,a,3,Win,0,1,Fletch,Ashkii
129,t,t,p,3,Win,0,1,Slider,Cane
145,a,,,3,Win,1,0,Ryze,Hazard
130,a,,,3,Win,1,0,Chief,Ezreal
131,t,h,a,3,Win,1,0,Jager,Tino
132,t,h,a,3,Win,1,0,Nado,Venom
146,a,,,3,Win,1,0,Tani,Sho
133,t,h,p,3,Win,1,0,Singed,Yone
147,t,t,a,3,Win,0,1,Pepe,Kylian
134,t,t,p,3,Win,0,1,G,Rumble
148,a,,,3,Win,1,0,Groot,Maki
135,a,,,3,Win,1,0,Peaky,Foden
136,a,,,3,Win,1,0,Keanu,Demo
137,a,,,3,Win,0,1,Earl,Nakoa
149,t,t,p,3,Win,0,1,Appa,Ludo
138,a,,,3,Win,1,0,Ekko,Jayce
150,t,h,a,3,Win,1,0,Zion,Potatoe
139,a,,,3,Win,1,0,Mushu,Homivic
161,t,t,p,3,Losers,0,1,Slider,Nugget
160,a,,,3,Losers,1,0,Fletch,Mator
159,t,h,p,3,Losers,1,0,Kayn,Naruto
176,a,,,3,Losers,1,0,Ash,Weasley
158,t,h,a,3,Losers,1,0,Krule,Reeves
157,a,,,3,Losers,0,1,Corki,Mateo
156,t,h,p,3,Losers,1,0,Dwayne,Gnar
175,a,,,3,Losers,0,1,Imp,Mowgli
155,a,,,3,Losers,0,1,Heimer,Hoggle
174,t,t,a,3,Losers,0,1,Morty,Giannis
154,t,t,a,3,Losers,0,1,Vayne,Rex
173,t,h,a,3,Losers,1,0,Lean,Ez
153,a,,,3,Losers,1,0,Fang,Zeus
152,a,,,3,Losers,0,1,Bud,Tonk
151,t,h,p,3,Losers,1,0,Dinger,Bama
172,a,,,3,Losers,1,0,Sneaky,Sylas
171,t,t,a,3,Losers,0,1,Homivic,Xin
182,t,t,a,3,Losers,0,1,Potatoe,Maui
170,t,h,a,3,Losers,1,0,Jayce,Scar
181,a,,,3,Losers,1,0,Appa,Fizz
169,t,t,a,3,Losers,0,1,Earl,Shroud
168,a,,,3,Losers,1,0,Demo,Cooper
167,a,,,3,Losers,0,1,Foden,Buckwheat
180,a,,,3,Losers,1,0,Maki,Salah
166,t,h,a,3,Losers,1,0,G,Simba
179,a,,,3,Losers,0,1,Pepe,Breacher
165,a,,,3,Losers,1,0,Yone,Uzu
178,a,,,3,Losers,1,0,Sho,Nas
164,t,h,p,3,Losers,1,0,Venom,S1mple
